section,question_id,question_label_ar,input_type,required,multi_select,max_selections,conditional_rule,stores_as,allowed_values_ar,notes
profile,clinic_name,اسم العيادة أو المركز,text,yes,no,1,always,text,أي نص باسم العيادة,يفضل استخدام الاسم التجاري الرسمي
profile,person_name,اسم الشخص المسؤول عن التواصل,text,yes,no,1,always,text,أي اسم شخص حقيقي,يظهر في التقرير والمتابعة
profile,person_role,ما دورك داخل المركز؟,multi,yes,yes,multiple,always,json_array,"المالك (Owner) | مدير العيادة | شريك | طبيب | مدير تشغيل | أخرى",يسمح بأكثر من اختيار
profile,country,اختر دولتك,country,yes,no,1,always,text,"مصر | السعودية | الإمارات | قطر | الكويت | البحرين | عمان | الأردن | لبنان | سوريا | العراق | فلسطين | اليمن | ليبيا | تونس | الجزائر | المغرب | السودان | جيبوتي",نوعية بعض الأسئلة تختلف حسب البلد
profile,city,المدينة,city,yes,no,1,always,text,أي مدينة من الدولة المختارة أو مدينة مخصصة,يمكن إضافة مدينة غير موجودة
profile,phone_number,رقم الهاتف للتواصل (رقم واتساب),phone,yes,no,1,always,text_digits,رقم هاتف بدون كود الدولة,يتم دمج كود الدولة تلقائيًا
profile,clinic_type,ما نوع المنشأة؟,single,yes,no,1,always,text,"عيادة فردية | مركز أسنان | مجمع طبي | عيادة تخصصية",حقل تصنيفي
profile,clinic_years,منذ كم سنة تعمل العيادة؟,single,yes,no,1,always,text,"أقل من سنة | 1–3 سنوات | 3–7 سنوات | أكثر من 7 سنوات",يدخل في score system
profile,chairs,كم عدد كراسي الأسنان / غرف العلاج؟,single,yes,no,1,always,text,"1 | 2–3 | 4–6 | 7+",يؤثر على سؤال الفريق
profile,services,ما الخدمات التي تقدمونها حاليًا؟,multi,yes,yes,multiple,always,json_array,"طب الأسنان العام | تقويم الأسنان | زراعة الأسنان | تجميل الأسنان والقشور | أسنان الأطفال | علاج الجذور | علاج اللثة | جراحة الفم | التعويضات السنية",يسمح بأكثر من اختيار
profile,primary_challenge,ما هي أهم التحديات لديكم الآن؟,multi,yes,yes,3,always,json_array,"زيادة عدد المرضى الجدد | الاحتفاظ بالمرضى الحاليين | إدارة المال والتدفق النقدي | توظيف فريق قوي والحفاظ عليه | تحسين التشغيل والكفاءة | زيادة الإيراد لكل مريض | التميّز عن المنافسين | التوسع وفتح فروع جديدة",حتى 3 اختيارات
marketing,marketing_plan,هل لديكم خطة تسويقية واضحة؟,single,yes,no,1,always,text,"نعم | إلى حد ما | لا",تؤثر مباشرة على marketing score
marketing,lead_source,ما هو المصدر الرئيسي الحالي للمرضى؟,single,yes,no,1,always,text,"إنستجرام / سوشيال ميديا | الإحالات (Referrals) | إعلانات ممولة مدفوعة | اللوكيشن / المرور / الخرائط | مزيج متوازن من أكثر من مصدر",يوضح اعتماد النمو على القنوات
